,Слово,"Частота встречи,раз",Частота встречи в %
238,был,1834,0.35
239,грипп,2,0.0
240,как,4560,0.88
241,она,2906,0.56
242,тогда,301,0.06
243,новое,75,0.01
244,слово,144,0.03
245,употреблявшееся,1,0.0
246,только,1742,0.33
247,редкими,6,0.0
248,записочках,1,0.0
249,разосланных,1,0.0
250,утром,56,0.01
251,красным,35,0.01
252,лакеем,5,0.0
253,было,2679,0.52
254,написано,15,0.0
255,без,461,0.09
256,различия,7,0.0
257,во,906,0.17
258,или,863,0.17
259,князь,1536,0.3
260,генуя,3,0.0
261,лукка,3,0.0
262,фамилии,10,0.0
263,бонапарте,79,0.02
264,нет,953,0.18
265,вам,365,0.07
266,вперед,256,0.05
267,говорю,105,0.02
268,мне,867,0.17
269,не,9587,1.84
270,скажете,6,0.0
271,что,8275,1.59
272,нас,208,0.04
273,позволите,13,0.0
274,себе,722,0.14
275,защищать,12,0.0
276,все,1144,0.22
277,гадости,2,0.0
278,ужасы,6,0.0
279,антихриста,2,0.0
280,право,102,0.02
281,верю,21,0.0
282,он,8137,1.56
283,антихрист,2,0.0
284,вас,425,0.08
285,больше,365,0.07
286,знаю,255,0.05
287,уж,182,0.03
288,друг,295,0.06
289,говорите,51,0.01
290,вижу,48,0.01
291,пугаю,1,0.0
292,отвечал,286,0.05
293,нисколько,29,0.01
294,смутясь,1,0.0
295,такою,55,0.01
296,встречей,2,0.0
297,вошедший,9,0.0
298,придворном,9,0.0
299,шитом,6,0.0
300,мундире,45,0.01
301,чулках,11,0.0
302,башмаках,9,0.0
303,звездах,5,0.0
304,светлым,5,0.0
305,выражением,107,0.02
306,плоского,2,0.0
307,лица,270,0.05
308,говорил,733,0.14
309,изысканном,1,0.0
310,французском,14,0.0
311,языке,14,0.0
312,котором,278,0.05
313,говорили,271,0.05
314,но,2999,0.58
315,думали,31,0.01
316,наши,90,0.02
317,деды,1,0.0
318,теми,39,0.01
319,тихими,9,0.0
320,покровительственными,1,0.0
321,интонациями,3,0.0
322,свойственны,1,0.0
323,свете,97,0.02
324,дворе,51,0.01
325,значительному,1,0.0
326,человеку,64,0.01
327,подошел,214,0.04
328,анне,23,0.0
329,павловне,19,0.0
330,поцеловал,57,0.01
331,руку,371,0.07
332,подставив,3,0.0
333,ей,708,0.14
334,свою,444,0.09
335,надушенную,2,0.0
336,сияющую,2,0.0
337,лысину,3,0.0
338,покойно,13,0.0
339,уселся,8,0.0
340,диване,31,0.01
341,успокойте,1,0.0
342,меня,680,0.13
343,сказал,2225,0.43
344,изменяя,14,0.0
345,голоса,132,0.03
346,тоном,49,0.01
347,из,2080,0.4
348,приличия,12,0.0
349,участия,26,0.0
350,просвечивало,1,0.0
351,равнодушие,3,0.0
352,даже,295,0.06
353,насмешка,3,0.0
354,быть,849,0.16
355,здоровой,2,0.0
356,когда,1225,0.24
357,нравственно,19,0.0
358,страдаешь,2,0.0
359,разве,102,0.02
360,имея,19,0.0
361,чувство,207,0.04
362,оставаться,35,0.01
363,спокойною,10,0.0
364,наше,52,0.01
365,время,824,0.16
366,сказала,783,0.15
367,надеюсь,27,0.01
368,праздник,13,0.0
369,английского,8,0.0
370,посланника,6,0.0
371,нынче,147,0.03
372,середа,1,0.0
373,надо,494,0.09
374,показаться,5,0.0
375,там,288,0.06
376,дочь,82,0.02
377,заедет,1,0.0
378,мной,74,0.01
379,повезет,2,0.0
380,думала,134,0.03
381,нынешний,15,0.0
382,отменен,1,0.0
383,ежели,511,0.1
384,бы,1614,0.31
385,знали,64,0.01
386,хотите,65,0.01
387,отменили,1,0.0
388,привычке,25,0.0
389,заведенные,1,0.0
390,часы,28,0.01
391,говоря,93,0.02
392,вещи,46,0.01
393,которым,178,0.03
394,хотел,269,0.05
395,верили,10,0.0
396,граф,491,0.09
397,виду,34,0.01
398,ничего,629,0.12
399,лучшего,6,0.0
400,перспектива,2,0.0
401,вечера,71,0.01
402,бедной,6,0.0
403,больной,16,0.0
404,слишком,130,0.02
405,пугает,1,0.0
406,то,3898,0.75
407,буду,97,0.02
408,очень,618,0.12
409,рада,45,0.01
410,видеть,186,0.04
411,себя,888,0.17
412,между,410,0.08
413,семью,12,0.0
414,десятью,6,0.0
415,часами,6,0.0
416,господи,42,0.01
417,какое,137,0.03
418,горячее,4,0.0
419,нападение,7,0.0
420,прежде,329,0.06
421,всего,277,0.05
422,скажите,51,0.01
423,ваше,247,0.05
424,здоровье,56,0.01
425,милый,112,0.02
426,признаюсь,8,0.0
427,эти,475,0.09
428,праздники,2,0.0
429,фейерверки,1,0.0
430,становятся,6,0.0
431,несносны,1,0.0
432,мучьте,1,0.0
433,же,1947,0.37
434,решили,9,0.0
435,случаю,28,0.01
436,депеши,6,0.0
437,новосильцова,2,0.0
438,всё,1915,0.37
439,знаете,134,0.03
440,сказать,290,0.06
441,холодным,18,0.0
442,скучающим,2,0.0
443,василий,177,0.03
444,всегда,435,0.08
445,лениво,14,0.0
446,актер,4,0.0
447,говорит,198,0.04
448,роль,40,0.01
449,старой,32,0.01
450,пиесы,4,0.0
451,напротив,104,0.02
452,несмотря,287,0.06
453,свои,325,0.06
454,сорок,9,0.0
455,лет,119,0.02
456,была,985,0.19
457,преисполнена,2,0.0
458,оживления,8,0.0
459,порывов,3,0.0
460,энтузиасткой,2,0.0
461,сделалось,35,0.01
462,общественным,1,0.0
463,положением,19,0.0
464,иногда,138,0.03
465,хотелось,94,0.02
466,обмануть,16,0.0
467,ожиданий,1,0.0
468,людей,484,0.09
469,знавших,5,0.0
470,делалась,1,0.0
471,сдержанная,2,0.0
472,улыбка,57,0.01
473,игравшая,2,0.0
474,постоянно,59,0.01
475,лице,189,0.04
476,анны,65,0.01
477,павловны,47,0.01
478,хотя,253,0.05
479,шла,39,0.01
480,отжившим,1,0.0
481,чертам,2,0.0
482,выражала,7,0.0
483,избалованных,1,0.0
484,детей,46,0.01
485,постоянное,2,0.0
486,сознание,52,0.01
487,своего,449,0.09
488,милого,6,0.0
489,недостатка,4,0.0
490,от,1941,0.37
491,которого,381,0.07
492,хочет,83,0.02
493,может,503,0.1
494,находит,9,0.0
495,нужным,23,0.0
496,исправляться,2,0.0
497,середине,96,0.02
498,разговора,67,0.01
499,про,354,0.07
500,политические,10,0.0
501,действия,52,0.01
502,разгорячилась,2,0.0
503,ах,223,0.04
504,австрию,5,0.0
505,понимаю,85,0.02
506,австрия,5,0.0
507,никогда,327,0.06
508,хотела,79,0.02
509,предает,1,0.0
510,россия,28,0.01
511,одна,205,0.04
512,должна,90,0.02
513,спасительницей,1,0.0
514,европы,26,0.0
515,наш,91,0.02
516,благодетель,12,0.0
517,знает,129,0.02
518,свое,310,0.06
519,высокое,9,0.0
520,призвание,7,0.0
521,будет,532,0.1
522,верен,4,0.0
523,ему,1906,0.37
524,вот,690,0.13
525,одно,282,0.05
526,нашему,16,0.0
527,доброму,4,0.0
528,чудному,1,0.0
529,государю,92,0.02
530,предстоит,5,0.0
531,величайшая,3,0.0
532,мире,77,0.01
533,добродетелен,1,0.0
534,хорош,35,0.01
535,бог,133,0.03
536,оставит,6,0.0
537,его,4280,0.82
538,исполнит,4,0.0
539,задавить,1,0.0
540,гидру,1,0.0
541,революции,31,0.01
542,которая,312,0.06
543,теперь,980,0.19
544,ужаснее,2,0.0
545,убийцы,1,0.0
546,злодея,6,0.0
547,мы,660,0.13
548,одни,74,0.01
549,должны,113,0.02
550,искупить,2,0.0
551,кровь,44,0.01
552,праведника,1,0.0
553,кого,164,0.03
554,надеяться,12,0.0
555,спрашиваю,15,0.0
556,англия,1,0.0
557,своим,312,0.06
558,коммерческим,1,0.0
559,духом,13,0.0
560,поймет,10,0.0
561,понять,127,0.02
562,всю,184,0.04
563,высоту,8,0.0
564,души,67,0.01
565,императора,120,0.02
566,александра,87,0.02
567,отказалась,5,0.0
568,очистить,8,0.0
569,мальту,1,0.0
570,ищет,7,0.0
571,заднюю,9,0.0
572,мысль,116,0.02
573,наших,65,0.01
574,действий,22,0.0
575,они,1026,0.2
576,сказали,63,0.01
577,новосильцову,1,0.0
578,поняли,15,0.0
579,могут,67,0.01
580,самоотвержения,5,0.0
581,нашего,53,0.01
582,который,705,0.14
583,блага,18,0.0
584,обещали,9,0.0
585,пруссия,4,0.0
586,уже,809,0.16
587,объявила,6,0.0
588,непобедим,1,0.0
589,вся,152,0.03
590,европа,8,0.0
591,против,209,0.04
592,него,999,0.19
593,ни,968,0.19
594,одном,70,0.01
595,слове,25,0.0
596,гарденбергу,1,0.0
597,гаугвицу,1,0.0
598,сжег,5,0.0
599,корабли,3,0.0
600,тоже,246,0.05
601,кажется,132,0.03
602,готовы,19,0.0
603,сжечь,4,0.0
604,одного,236,0.05
605,бога,76,0.01
606,высокую,3,0.0
607,судьбу,9,0.0
608,спасет,4,0.0
609,европу,9,0.0
610,вдруг,529,0.1
611,остановилась,65,0.01
612,улыбкой,252,0.05
613,насмешки,16,0.0
614,над,314,0.06
615,своею,190,0.04
616,горячностью,8,0.0
617,думаю,95,0.02
618,улыбаясь,216,0.04
619,послали,9,0.0
620,вместо,2933,0.56
621,винценгероде,5,0.0
622,взяли,33,0.01
623,приступом,1,0.0
624,согласие,16,0.0
625,прусского,7,0.0
626,короля,25,0.0
627,красноречивы,1,0.0
628,дадите,2,0.0
629,чаю,33,0.01
630,сейчас,170,0.03
631,прибавила,38,0.01
632,опять,660,0.13
633,успокоиваясь,5,0.0
634,интересные,2,0.0
635,человека,402,0.08
636,лучших,18,0.0
637,фамилий,2,0.0
638,франции,45,0.01
639,хороших,7,0.0
640,эмигрантов,1,0.0
641,настоящих,7,0.0
642,потом,320,0.06
643,этот,681,0.13
644,глубокий,9,0.0
645,ум,35,0.01
646,принят,16,0.0
647,государем,28,0.01
648,рад,73,0.01
649,прибавил,123,0.02
650,будто,548,0.11
651,вспомнив,10,0.0
652,особенно,186,0.04
653,небрежно,16,0.0
654,о,2077,0.4
655,чем,700,0.13
656,спрашивал,76,0.01
657,главною,4,0.0
658,целью,49,0.01
659,посещения,12,0.0
660,правда,96,0.02
661,желает,20,0.0
662,назначения,10,0.0
663,барона,1,0.0
664,функе,3,0.0
665,первым,20,0.0
666,секретарем,4,0.0
667,вену,14,0.0
668,желал,73,0.01
669,определить,10,0.0
670,сына,120,0.02
671,место,143,0.03
672,которое,398,0.08
673,через,346,0.07
674,императрицу,5,0.0
675,марию,2,0.0
676,феодоровну,1,0.0
677,старались,23,0.0
678,доставить,7,0.0
679,барону,5,0.0
680,почти,190,0.04
681,закрыла,14,0.0
682,глаза,462,0.09
683,знак,36,0.01
684,кто,458,0.09
685,другой,419,0.08
686,судить,28,0.01
687,угодно,32,0.01
688,нравится,15,0.0
689,императрице,6,0.0
690,грустным,15,0.0
691,сухим,6,0.0
692,назвала,3,0.0
693,лицо,555,0.11
694,представило,3,0.0
695,глубокое,3,0.0
696,искреннее,1,0.0
697,выражение,168,0.03
698,преданности,10,0.0
699,уважения,15,0.0
700,соединенное,1,0.0
701,грустью,14,0.0
702,ней,450,0.09
703,бывало,36,0.01
704,каждый,136,0.03
705,раз,488,0.09
706,разговоре,11,0.0
707,упоминала,2,0.0
708,своей,441,0.08
709,высокой,14,0.0
710,покровительнице,2,0.0
711,вели,24,0.0
712,чество,1,0.0
713,пресловутый,1,0.0
714,нейтралитет,2,0.0
715,пруссии,10,0.0
716,западня,1,0.0
717,кстати,10,0.0
718,виконт,57,0.01
719,мортемар,6,0.0
720,родстве,2,0.0
721,монморанси,3,0.0
722,чрез,18,0.0
723,роганов,2,0.0
724,аббат,12,0.0
725,морио,4,0.0
726,вдовствующая,2,0.0
727,императрица,10,0.0
728,барон,7,0.0
729,ничтожное,1,0.0
730,существо,22,0.0
731,рекомендован,5,0.0
732,матери,121,0.02
733,сестрою,3,0.0
734,изволила,4,0.0
735,оказать,4,0.0
736,взгляд,114,0.02
737,подернулся,1,0.0
738,равнодушно,13,0.0
739,замолк,12,0.0
740,свойственною,14,0.0
741,придворною,6,0.0
742,женскою,5,0.0
743,ловкостью,5,0.0
744,быстротою,4,0.0
745,такта,7,0.0
746,захотела,1,0.0
747,щелконуть,1,0.0
748,дерзнул,1,0.0
749,отозваться,2,0.0
750,рекомендованном,1,0.0
751,утешить,5,0.0
752,ли,571,0.11
753,ваша,44,0.01
754,тех,291,0.06
755,пор,142,0.03
756,выезжает,4,0.0
757,наклонился,5,0.0
758,признательности,1,0.0
759,часто,137,0.03
760,продолжала,58,0.01
761,минутного,9,0.0
762,молчания,25,0.0
763,придвигаясь,2,0.0
764,князю,193,0.04
765,ласково,33,0.01
766,выказывая,15,0.0
767,этим,215,0.04
768,светские,3,0.0
769,разговоры,32,0.01
770,кончены,7,0.0
771,начинается,11,0.0
772,задушевный,2,0.0
773,несправедливо,10,0.0
774,распределяется,1,0.0
775,счастие,41,0.01
776,жизни,410,0.08
777,судьба,30,0.01
778,дала,16,0.0
779,таких,67,0.01
780,двух,149,0.03
781,славных,1,0.0
782,исключая,11,0.0
783,анатоля,66,0.01
784,вашего,30,0.01
785,меньшого,4,0.0
786,люблю,122,0.02
787,вставила,2,0.0
788,безапелляционно,1,0.0
789,приподняв,12,0.0
790,брови,20,0.0
791,прелестных,1,0.0
792,менее,87,0.02
793,цените,1,0.0
794,их,866,0.17
795,потому,600,0.12
796,сто,50,0.01
797,ите,1,0.0
798,улыбнулась,56,0.01
799,восторженною,6,0.0
800,перестаньте,7,0.0
801,шутить,17,0.0
802,серьезно,52,0.01
803,поговорить,30,0.01
804,вами,86,0.02
805,недовольна,4,0.0
806,вашим,28,0.01
807,меньшим,2,0.0
808,сыном,36,0.01
809,нами,66,0.01
810,будь,19,0.0
811,сказано,39,0.01
812,приняло,22,0.0
813,грустное,4,0.0
814,нем,236,0.05
815,величества,14,0.0
816,жалеют,4,0.0
817,молча,128,0.02
818,значительно,33,0.01
819,глядя,265,0.05
820,ждала,21,0.0
821,ответа,35,0.01
822,поморщился,20,0.0
823,ж,225,0.04
824,делать,183,0.04
825,наконец,116,0.02
826,сделал,161,0.03
827,воспитания,6,0.0
828,отец,145,0.03
829,оба,80,0.02
830,вышли,49,0.01
831,ипполит,57,0.01
832,крайней,23,0.0
833,мере,51,0.01
834,покойный,2,0.0
835,дурак,32,0.01
836,много,218,0.04
837,вашем,16,0.0
838,семействе,8,0.0
839,составляет,18,0.0
840,наслаждение,18,0.0
841,общества,57,0.01
842,находят,2,0.0
843,прекрасною,4,0.0
844,день,389,0.07
845,лафатер,2,0.0
846,шишки,1,0.0
847,родительской,1,0.0
848,любви,138,0.03
849,дурни,5,0.0
850,анатоль,164,0.03
851,беспокойный,4,0.0
852,различие,9,0.0
853,неестественно,23,0.0
854,одушевленно,1,0.0
855,обыкновенно,48,0.01
856,этом,384,0.07
857,резко,10,0.0
858,сложившихся,1,0.0
859,около,124,0.02
860,рта,17,0.0
861,морщинах,2,0.0
862,неожиданно,76,0.01
863,грубое,4,0.0
864,неприятное,17,0.0
865,зачем,141,0.03
866,родятся,2,0.0
867,дети,43,0.01
868,были,975,0.19
869,могла,205,0.04
870,упрекнуть,6,0.0
871,задумчиво,18,0.0
872,поднимая,33,0.01
873,мои,55,0.01
874,крест,23,0.0
875,объясняю,2,0.0
876,помолчал,33,0.01
877,выражая,15,0.0
878,жестом,45,0.01
879,покорность,5,0.0
880,жестокой,2,0.0
881,судьбе,3,0.0
882,задумалась,8,0.0
883,женить,8,0.0
884,блудного,1,0.0
885,говорят,151,0.03
886,старые,31,0.01
887,девицы,10,0.0
888,чувствую,20,0.0
889,собою,124,0.02
890,этой,312,0.06
891,слабости,21,0.0
892,есть,496,0.1
893,несчастлива,3,0.0
894,отцом,37,0.01
895,болконская,8,0.0
896,светским,3,0.0
897,людям,57,0.01
898,быстротой,12,0.0
899,соображения,26,0.0
900,памяти,18,0.0
901,показал,39,0.01
902,движением,57,0.01
903,головы,53,0.01
904,принял,53,0.01
905,соображению,1,0.0
906,сведения,20,0.0
907,ит,14,0.0
908,год,55,0.01
909,видимо,254,0.05
910,силах,47,0.01
911,удерживать,15,0.0
912,печальный,5,0.0
913,ход,28,0.01
914,своих,288,0.06
915,мыслей,50,0.01
916,пять,54,0.01
917,пойдет,18,0.0
918,богата,5,0.0
919,княжна,583,0.11
920,богат,9,0.0
921,скуп,2,0.0
922,живет,20,0.0
923,деревне,60,0.01
924,известный,26,0.0
925,болконский,96,0.02
926,отставленный,1,0.0
927,покойном,5,0.0
928,императоре,4,0.0
929,прозванный,1,0.0
930,прусским,2,0.0
931,королем,16,0.0
932,умный,17,0.0
933,человек,556,0.11
934,со,463,0.09
935,странностями,1,0.0
936,тяжелый,4,0.0
937,брат,96,0.02
938,недавно,27,0.01
939,женился,15,0.0
940,мейнен,1,0.0
941,адъютант,153,0.03
942,кутузова,163,0.03
943,ваш,59,0.01
944,одним,72,0.01
945,могу,189,0.04
946,признаться,12,0.0
947,обуза,1,0.0
948,моего,49,0.01
949,существования,9,0.0
950,имеют,25,0.0
951,манию,1,0.0
952,девушка,51,0.01
953,наша,39,0.01
954,родственница,3,0.0
955,выгода,1,0.0
956,бедняжка,4,0.0
957,камни,2,0.0
958,взяв,58,0.01
959,собеседницу,5,0.0
960,пригибая,3,0.0
961,почему,118,0.02
962,книзу,13,0.0
963,вернейший,1,0.0
964,староста,16,0.0
965,донесенья,1,0.0
966,покой,1,0.0
967,ер,1,0.0
968,п,40,0.01
969,хорошей,4,0.0
970,нужно,282,0.05
971,свободными,8,0.0
972,фамильярными,1,0.0
973,грациозными,1,0.0
974,движениями,18,0.0
975,отличали,1,0.0
976,взял,144,0.03
977,фрейлину,2,0.0
978,поцеловав,11,0.0
979,помахал,3,0.0
980,фрейлинскою,1,0.0
981,рукой,127,0.02
982,развалившись,4,0.0
983,креслах,2,0.0
984,сторону,95,0.02
985,соображая,14,0.0
986,поговорю,3,0.0
987,уладится,1,0.0
988,гостиная,2,0.0
989,начала,79,0.02
990,понемногу,17,0.0
991,наполняться,1,0.0
992,приехала,31,0.01
993,высшая,8,0.0
994,знать,133,0.03
995,петербурга,49,0.01
996,люди,347,0.07
997,самые,75,0.01
998,разнородные,2,0.0
999,возрастам,1,0.0
1000,характерам,1,0.0
1001,одинаковые,2,0.0
1002,обществу,16,0.0
1003,каком,43,0.01
1004,жили,18,0.0
1005,красавица,17,0.0
1006,элен,177,0.03
1007,заехавшая,1,0.0
1008,ним,531,0.1
1009,ехать,158,0.03
1010,шифре,1,0.0
1011,бальном,2,0.0
1012,платье,90,0.02
1013,молодая,14,0.0
1014,маленькая,63,0.01
1015,княгиня,131,0.03
1016,прошлую,4,0.0
1017,зиму,10,0.0
1018,вышедшая,4,0.0
1019,замуж,41,0.01
1020,выезжавшая,1,0.0
1021,большой,83,0.02
1022,причине,10,0.0
1023,беременности,5,0.0
1024,ездившая,2,0.0
1025,небольшие,6,0.0
1026,приехал,153,0.03
1027,сын,115,0.02
1028,мортемаром,1,0.0
1029,представил,11,0.0
1030,многие,37,0.01
1031,другие,182,0.03
1032,видали,17,0.0
1033,знакомы,8,0.0
1034,приезжавшим,1,0.0
1035,гостям,9,0.0
1036,весьма,85,0.02
1037,послушайте,11,0.0
1038,милая,61,0.01
1039,анет,3,0.0
1040,устройте,1,0.0
1041,дело,444,0.09
1042,навсегда,37,0.01
1043,пишет,24,0.0
1044,постойте,10,0.0
1045,лизе,4,0.0
1046,жене,52,0.01
1047,болконского,62,0.01
1048,начну,2,0.0
1049,обучаться,2,0.0
1050,ремеслу,1,0.0
1051,самая,33,0.01
1052,обворожительная,4,0.0
1053,женщина,61,0.01
1054,петербурге,99,0.02
1055,тетушкой,4,0.0
1056,подводила,3,0.0
1057,маленькой,43,0.01
1058,старушке,1,0.0
1059,высоких,4,0.0
1060,бантах,1,0.0
1061,выплывшей,1,0.0
1062,комнаты,163,0.03
1063,скоро,125,0.02
1064,стали,140,0.03
1065,приезжать,4,0.0
1066,гости,47,0.01
1067,называла,20,0.0
1068,имени,34,0.01
1069,медленно,41,0.01
1070,переводя,9,0.0
1071,гостя,13,0.0
1072,отходила,3,0.0
1073,совершали,2,0.0
1074,обряд,3,0.0
1075,приветствования,1,0.0
1076,никому,68,0.01
1077,неизвестной,6,0.0
1078,неинтересной,1,0.0
1079,ненужной,1,0.0
1080,тетушки,7,0.0
1081,торжественным,10,0.0
1082,участием,8,0.0
1083,следила,11,0.0
1084,приветствиями,1,0.0
1085,молчаливо,5,0.0
1086,одобряя,9,0.0
1087,каждому,20,0.0
1088,одних,23,0.0
1089,выражениях,5,0.0
1090,своем,182,0.03
1091,слава,48,0.01
1092,богу,89,0.02
1093,лучше,159,0.03
1094,подходившие,3,0.0
1095,поспешности,7,0.0
1096,чувством,42,0.01
1097,облегчения,3,0.0
1098,исполненной,1,0.0
1099,тяжелой,4,0.0
1100,обязанности,20,0.0
1101,отходили,5,0.0
1102,старушки,3,0.0
1103,чтоб,377,0.07
1104,разу,33,0.01
1105,подойти,9,0.0
1106,работой,12,0.0
1107,золотом,7,0.0
1108,бархатном,3,0.0
1109,мешке,2,0.0
1110,хорошенькая,11,0.0
1111,чуть,86,0.02
1112,черневшимися,1,0.0
1113,усиками,11,0.0
1114,верхняя,8,0.0
1115,губка,8,0.0
1116,коротка,1,0.0
1117,зубам,1,0.0
1118,тем,647,0.12
1119,милее,2,0.0
1120,открывалась,3,0.0
1121,вытягивалась,1,0.0
1122,опускалась,4,0.0
1123,нижнюю,10,0.0
1124,бывает,105,0.02
1125,вполне,70,0.01
1126,привлекательных,1,0.0
1127,женщин,47,0.01
1128,недостаток,12,0.0
1129,короткость,1,0.0
1130,губы,41,0.01
1131,полуоткрытый,1,0.0
1132,рот,35,0.01
1133,казались,38,0.01
1134,особенною,17,0.0
1135,собственно,9,0.0
1136,красотой,17,0.0
1137,всем,289,0.06
1138,весело,142,0.03
1139,смотреть,67,0.01
1140,эту,288,0.06
1141,полную,14,0.0
1142,здоровья,4,0.0
1143,живости,1,0.0
1144,хорошенькую,6,0.0
1145,будущую,8,0.0
1146,мать,104,0.02
1147,легко,76,0.01
1148,переносившую,1,0.0
