,word,frequency
197,третья.i.ii.iii.iv.v.vi.vii.viii.ix.x.xi.xii.xiii.xiv.xv.xvi.xvii.xviii.xix.том,1
198,второйчасть,2
199,первая.i.ii.iii.iv.v.vi.vii.viii.ix.x.xi.xii.xiii.xiv.xv.xvi.часть,3
200,вторая.ii.iii.iv.v.vi.vii.viii.ix.x.xi.xii.xiii.xiv.xv.xvi.xvii.xviii.xix.xx.xxi.часть,1
201,третья.i.ii.iii.iv.v.vi.vii.viii.ix.x.xi.xii.xiii.xiv.xv.xvi.xvii.xviii.xix.xx.xxi.xxii.xxiii.ххіv.xxv.xxvi.часть,1
202,четвертая.i.ii.iii.iv.v.vi.vii.viii.іх.x.хі.xii.xiii.часть,1
203,пятаяi.ii.iii.iv.v.vi.vii.viii.ix.x.xi.xii.xiii.xiv.xv.xvi.xvii.xviii.xix.xx.xxi.xxii.том,1
204,третийчасть,2
205,первая.i.ii.iii.iv.v.vi.vii.viii.ix.x.xi.xii.xiii.xiv.xv.xvi.xvii.xviii.xix.xx.xxi.xxii.xxiii.часть,1
206,вторая.i.ii.iii.iv.v.vi.vii.viii.ix.x.xi.xii.xiii.xiv.xv.xvi.xvii.xviii.xix.xx.xxi.xxii.xxiii.xxiv.xxv.xxvi.xxvii.xxviii.xxix.xxx.xxxi.xxxii.xxxiii.xxxiv.xxxv.xxxvi.xxxvii.xxxviii.xxxix.часть,1
207,третья.i.ii.iii.iv.v.vi.vii.viii.ix.x.xi.xii.xiii.xiv.xv.xvi.xvii.xviii.xix.xx.xxi.xxii.ххiii.xxiv.xxv.xxvi.xxvii.xxviii.xxix.xxx.xxxi.xxxii.xxxiii.xxxiv.том,1
208,четвертыйчасть,2
209,вторая.i.ii.iii.iv.v.vi.vii.viii.ix.x.xi.xii.xiii.xiv.xv.xvi.xvii.xviii.xix.часть,1
210,третья.i.ii.iii.iv.v.vi.vii.viii.ix.x.xi.xii.xiii.xiv.xv.xvi.xvii.xviii.xix.часть,1
211,четвертая.i.ii.iii.iv.v.vi.vii.viii.ix.x.xi.xii.xiii.xiv.xv.xvi.xvii.хvііі.xix.xx.эпилог.часть,1
212,вторая.i.ii.iii.iv.v.vi.vii.viii.ix.x.xi.xii.печатные,1
213,варианты,3
214,«войны,51
215,мира»том,2
216,первыйтом,1
217,второйтом,1
218,третийтом,1
219,четвертыйобзор,1
220,содержания,5
221,мира»,37
222,по,2098
223,главам.том,2
224,iчасть,2
225,1-я.часть,5
226,2-я.часть,4
227,3-я.том,2
228,iiчасть,2
229,3-я.часть,2
230,4-я.часть,1
231,5-я.том,1
232,iiiчасть,2
233,ivчасть,2
234,4-я.эпилогчасть,1
235,2-я.указатель,2
236,собственных,4
237,имен,2
238,томам.иллюстрации.предисловие,1
239,девятому–четырнадцатому,4
240,томам.редакционные,1
241,томам.война,1
242,1873)редакторы:г.,1
243,а.,31
244,волковм.,2
245,цявловскийразмер,1
246,подлинникатом,1
247,первая.i.—,1
248,eh,28
249,"bien,",35
250,mon,192
251,prince.,1
252,gênes,2
253,et,312
254,lucques,1
255,ne,155
256,sont,34
257,plus,75
258,que,281
259,des,119
260,"apanages,",1
261,"поместья,",1
262,de,679
263,la,339
264,famille,2
265,buonaparte.,2
266,"non,",30
267,je,258
268,vous,339
269,"préviens,",1
270,si,67
271,me,78
272,dites,21
273,"pas,",6
274,nous,101
275,avons,4
276,"guerre,",8
277,permettez,2
278,encore,16
279,pallier,1
280,toutes,14
281,"infamies,",1
282,atrocités,1
283,cet,23
284,antichrist,1
285,(ma,2
286,"parole,",4
287,j’y,3
288,crois),1
289,—,13867
290,connais,8
291,"plus,",5
292,n’êtes,3
293,"ami,",9
294,мой,217
295,верный,5
296,"раб,",4
297,comme,75
298,dites.1,1
299,"ну,",406
300,"здравствуйте,",11
301,здравствуйте.,1
302,vois,5
303,fais,4
304,"peur,2",1
305,садитесь,1
306,рассказывайте.так,1
307,говорила,218
308,июле,2
309,1805,45
310,года,66
311,известная,9
312,анна,232
313,павловна,75
314,"шерер,",5
315,фрейлина,3
316,приближенная,1
317,императрицы,6
318,марии,4
319,"феодоровны,",2
320,встречая,6
321,важного,10
322,чиновного,1
323,князя,409
324,"василия,",13
325,первого,63
326,приехавшего,4
327,ее,1395
328,вечер.,12
329,кашляла,3
330,несколько,399
331,"дней,",13
332,у,1382
333,нее,235
334,был,1744
335,"грипп,",1
336,как,4286
337,она,2343
338,(грипп,1
339,тогда,208
340,новое,55
341,"слово,",35
342,употреблявшееся,1
343,только,1617
344,редкими).,2
345,"записочках,",1
346,разосланных,1
347,утром,38
348,красным,28
349,"лакеем,",3
350,было,2239
351,написано,8
352,без,458
353,различия,6
354,во,822
355,всех:«si,1
356,n’avez,5
357,rien,7
358,mieux,7
359,à,279
360,"faire,",2
361,m.,9
362,le,337
363,comte,13
364,(или,2
365,"prince),",1
366,perspective,1
367,passer,3
368,soirée,1
369,chez,14
370,une,98
371,pauvre,31
372,1,317
373,"князь,",102
374,генуя,3
375,лукка,3
376,поместья,2
377,фамилии,4
378,бонапарте.,11
379,"нет,",354
380,я,3153
381,вам,289
382,вперед,143
383,"говорю,",45
384,если,182
385,мне,705
386,не,9512
387,"скажете,",2
388,что,5963
389,нас,152
390,"война,",11
391,позволите,8
392,себе,521
393,защищать,11
394,все,1020
395,"гадости,",2
396,ужасы,5
397,антихриста,1
398,"(право,",1
399,"верю,",7
400,он,6609
401,"антихрист),",1
402,вас,286
403,больше,295
404,"знаю,",160
405,уж,172
406,друг,210
407,"мой,",55
408,говорите.2,1
409,"вижу,",25
410,пугаю.3malade,1
411,effraye,1
412,pas,139
413,"trop,",1
414,serai,6
415,charmée,3
416,voir,10
417,moi,17
418,entre,16
419,7,11
420,10,17
421,heures.,2
422,annette,5
423,scherer».1—,1
424,"dieu,",9
425,quelle,10
426,virulente,1
427,sortie!2,1
428,"отвечал,",37
429,нисколько,24
430,смутясь,1
431,такою,49
432,"встречей,",2
433,вошедший,7
434,"придворном,",3
435,шитом,5
436,"мундире,",23
437,"чулках,",4
438,"башмаках,",5
439,"звездах,",1
440,светлым,4
441,выражением,77
442,плоского,2
443,лица.он,1
444,говорил,559
445,том,194
446,изысканном,1
447,французском,13
448,"языке,",7
449,котором,272
450,"говорили,",77
451,но,2705
452,думали,21
453,наши,75
454,"деды,",1
455,теми,29
456,"тихими,",3
457,покровительственными,1
458,"интонациями,",2
459,свойственны,1
460,состаревшемуcя,1
461,свете,50
462,дворе,32
463,значительному,1
464,человеку.,8
465,подошел,204
466,анне,22
467,"павловне,",7
468,поцеловал,52
469,"руку,",87
470,подставив,3
471,ей,565
472,свою,440
473,надушенную,2
474,сияющую,2
475,"лысину,",1
476,покойно,9
477,уселся,7
478,диване.—,1
479,avant,4
480,tout,69
481,"moi,",15
482,comment,14
483,"allez,",5
484,chère,37
485,amie?3,1
486,успокойте,1
487,"меня,",104
488,сказал,2007
489,"он,",758
490,изменяя,14
491,голоса,60
492,"тоном,",22
493,из-за,130
494,приличия,7
495,участия,21
496,просвечивало,1
497,равнодушие,3
498,даже,270
499,насмешка.—,1
500,быть,607
501,здоровой...,2
502,когда,1021
503,нравственно,13
504,страдаешь?,2
505,разве,99
506,"можно,",16
507,имея,19
508,"чувство,",43
509,оставаться,29
510,спокойною,9
511,наше,49
512,время?,2
513,сказала,712
514,павловна.,12
515,весь,153
516,вечер,46
517,надеюсь?—,1
518,а,1861
519,праздник,7
520,английского,8
521,посланника?,1
522,нынче,114
523,середа.,1
524,надо,377
525,показаться,5
526,"там,",61
527,князь.,22
528,дочь,43
529,заедет,1
530,мной,41
531,повезет,2
532,меня.—,4
533,"думала,",25
534,нынешний,15
535,отменен.,1
536,avoue,1
537,ces,22
538,fêtes,1
539,feux,1
540,d’artifice,1
541,commencent,1
542,devenir,4
543,insipides.4—,1
544,ежели,479
545,бы,1514
546,"знали,",38
547,"хотите,",17
548,"отменили,",1
549,"привычке,",9
550,заведенные,1
551,"часы,",11
552,говоря,59
553,"вещи,",19
554,которым,173
555,"хотел,",9
556,верили.—,1
557,tourmentez,1
558,pas.,4
559,qu’a-t-on,2
560,décidé,2
561,par,38
562,rapport,4
563,dépêche,2
564,novosilzoff?,1
565,savez,8
566,tout.51,1
567,y,26
568,"вас,",75
569,граф,267
570,"князь),",1
571,нет,395
572,виду,29
573,ничего,517
574,лучшего,3
575,перспектива,1
576,вечера,42
577,бедной,6
578,больной,11
579,слишком,127
580,"пугает,",1
581,то,1521
582,буду,79
583,очень,586
584,рада,19
585,видеть,125
586,себя,609
587,между,394
588,семью,7
589,десятью,5
590,часами.,2
591,шерер.2,1
592,"господи,",16
593,какое,85
594,горячее,4
595,нападение!3,1
596,прежде,196
597,всего,236
598,"скажите,",19
599,ваше,235
600,"здоровье,",6
601,милый,49
602,друг.4,1
603,"признаюсь,",5
604,эти,445
605,праздники,2
606,фейерверки,1
607,становятся,5
608,несносны.5,1
609,мучьте,1
610,меня.,31
611,чтò,260
612,же,1517
613,решили,5
614,случаю,28
615,депеши,5
616,новосильцова?,1
617,всё,1535
618,знаете.4—,1
619,сказать?,1
620,князь,1175
621,"холодным,",5
622,скучающим,1
623,тоном.,5
624,décidé?,1
625,on,54
626,a,143
627,buonaparte,3
628,brûlé,1
629,ses,19
630,"vaisseaux,",1
631,crois,4
632,sommes,10
633,en,106
634,train,1
635,brûler,1
636,notres.1,1
637,—князь,1
638,василий,124
639,всегда,362
640,"лениво,",4
641,актер,4
642,говорит,60
643,роль,33
644,старой,29
645,пиесы.,2
646,"напротив,",70
647,несмотря,254
648,свои,317
649,сорок,8
650,"лет,",25
651,была,949
652,преисполнена,2
653,оживления,5
654,порывов.быть,1
655,энтузиасткой,1
656,сделалось,29
657,общественным,1
658,"положением,",7
659,"иногда,",15
660,"хотелось,",7
661,"она,",280
662,обмануть,15
663,ожиданий,1
664,"людей,",234
665,знавших,5
666,"ее,",185
667,делалась,1
668,энтузиасткой.,1
669,сдержанная,2
670,"улыбка,",11
671,игравшая,2
672,постоянно,54
673,лице,136
674,анны,65
675,"павловны,",9
676,хотя,230
677,шла,38
678,отжившим,1
679,"чертам,",1
680,"выражала,",1
681,избалованных,1
682,"детей,",18
683,постоянное,2
684,сознание,40
685,своего,436
686,милого,5
687,"недостатка,",2
688,от,1921
689,которого,364
690,"хочет,",12
691,может,462
692,находит,8
693,нужным,21
694,исправляться.в,1
695,середине,87
696,разговора,42
697,про,349
698,политические,8
699,действия,36
700,разгорячилась.—,1
701,"ах,",169
702,говорите,18
703,австрию!,1
704,"понимаю,",46
705,"быть,",167
706,австрия,4
707,никогда,297
708,хотела,73
709,хочет,59
710,войны.,15
711,предает,1
712,нас.,8
713,россия,20
714,одна,169
715,должна,89
716,спасительницей,1
717,европы.,3
718,наш,84
719,благодетель,6
720,знает,60
721,свое,293
722,высокое,7
723,призвание,7
724,будет,396
725,верен,1
726,ему.,72
727,вот,590
728,"одно,",28
729,что́,826
730,верю.,1
731,нашему,13
732,доброму,3
733,чудному,1
734,государю,39
735,предстоит,5
736,величайшая,3
737,"мире,",22
738,так,1756
739,добродетелен,1
740,"хорош,",16
741,бог,102
742,оставит,6
743,"его,",409
744,исполнит,4
745,задавить,1
746,гидру,1
747,"революции,",14
748,которая,282
749,теперь,738
750,ужаснее,2
751,убийцы,1
752,злодея.,1
753,мы,623
754,одни,65
755,должны,112
756,искупить,2
757,кровь,27
758,праведника.,1
759,кого,101
760,"надеяться,",2
761,спрашиваю?..,1
762,англия,1
763,своим,304
764,коммерческим,1
765,духом,9
766,поймет,7
767,понять,77
768,всю,173
769,высоту,6
770,души,43
771,императора,66
772,александра.,6
773,отказалась,3
774,очистить,8
775,мальту.,1
776,"видеть,",37
777,ищет,5
778,заднюю,9
779,мысль,73
780,наших,56
781,действий.,2
782,они,919
783,сказали,25
784,новосильцову?..,1
785,ничего.,19
786,"поняли,",10
787,могут,66
788,самоотвержения,2
789,нашего,47
790,"императора,",22
791,который,627
792,блага,13
793,мира.,6
794,обещали?,1
795,"обещали,",1
796,будет!,11
797,пруссия,3
798,уже,780
799,"объявила,",2
800,бонапарте,38
801,непобедим,1
802,вся,141
803,европа,4
804,против,207
805,него...,3
806,верю,11
807,ни,961
808,одном,64
809,слове,16
810,"гарденбергу,",1
811,гаугвицу.,1
812,cette,45
813,что̀,488
814,решили?,1
815,"решили,",3
816,сжег,4
817,"корабли,",2
818,"тоже,",17
819,"кажется,",79
820,готовы,9
821,сжечь,4
822,наши.5fameuse,1
823,neutralité,1
824,"prussienne,",1
825,ce,144
826,n’est,32
827,qu’un,9
828,piège.1,1
829,одного,212
830,бога,18
831,высокую,3
832,судьбу,4
833,императора.,11
834,спасет,4
835,европу!..,1
836,вдруг,472
837,остановилась,30
838,улыбкой,149
839,насмешки,9
840,над,310
841,своею,187
842,горячностью.—,1
843,"думаю,",64
844,"улыбаясь,",62
845,послали,7
846,вместо,71
847,"винценгероде,",1
848,взяли,23
849,приступом,1
850,согласие,9
851,прусского,7
852,короля.,2
853,красноречивы.,1
854,дадите,2
855,чаю?,3
856,сейчас.,4
857,"propos,",3
858,прибавила,38
859,опять,615
860,"успокоиваясь,",1
861,меня,464
862,интересные,2
863,"человека,",173
864,vicomte,7
865,"mortemart,",3
866,il,152
867,est,110
868,allié,2
869,aux,20
870,montmorency,2
871,"rohans,2",1
872,из,1853
873,лучших,15
874,фамилий,2
875,франции.,8
876,хороших,6
877,"эмигрантов,",1
878,настоящих.,1
879,потом,255
880,l’abbé,2
881,morіo:3,1
882,знаете,46
883,этот,636
884,глубокий,9
885,ум?,2
886,принят,12
887,государем.,3
888,знаете?—,3
889,а!,31
890,рад,34
891,"буду,",11
892,прибавил,112
893,будто,537
894,вспомнив,9
895,что́-то,2
896,"особенно-небрежно,",1
897,"то,",823
898,о,1965
899,чем,583
900,"спрашивал,",7
901,главною,3
902,целью,41
903,его,3340
904,"посещения,",4
905,"правда,",34
906,l’impératrice-mère4,1
907,желает,20
908,назначения,7
909,барона,1
910,функе,3
911,первым,18
912,секретарем,3
913,вену?,1
914,c’est,121
915,un,142
916,"sire,",13
917,"baron,",1
918,qu’il,48
919,paraît.5,1
920,желал,67
921,определить,4
922,сына,55
923,"место,",40
924,которое,374
925,через,304
926,императрицу,3
927,марию,1
928,феодоровну,1
929,старались,23
930,доставить,4
931,барону.анна,1
932,почти,184
933,закрыла,14
934,глаза,264
935,знак,31
936,"того,",618
937,кто,349
938,другой,319
939,судить,22
940,угодно,22
941,или,831
942,нравится,9
943,императрице.—,1
944,monsieur,16
945,baron,1
946,funke,1
947,été,37
948,recommandé,1
949,l’impératrice-mère,1
950,sa,30
951,"soeur,6",1
952,"грустным,",4
953,сухим,5
954,"время,",141
955,назвала,3
956,"императрицу,",1
957,лицо,380
958,представило,3
959,глубокое,2
960,искреннее,1
961,выражение,115
962,преданности,5
963,"уважения,",5
964,соединенное,1
965,"грустью,",4
966,ней,252
967,бывало,21
968,каждый,127
969,"раз,",75
970,разговоре,8
971,упоминала,2
972,своей,424
973,высокой,12
974,покровительнице.,1
975,"сказала,",30
976,вели,23
977,чество,1
978,пресловутый,1
979,нейтралитет,1
980,пруссии,1
981,западня.2,1
982,"кстати,",3
983,виконт,22
984,"мортемар,",3
985,родстве,2
986,монморанси,2
987,чрез,17
988,"роганов,3",1
989,аббат,5
990,морио:4,1
991,вдовствующая,2
992,императрица5,1
993,барон,7
994,ничтожное,1
995,"существо,",10
996,кажется.6,1
997,рекомендован,5
998,императрице-матери,2
999,"сестрою,6изволила",1
1000,оказать,4
1001,барону,3
1002,beaucoup,14
1003,"d’estime,1",1
1004,взгляд,72
1005,подернулся,1
1006,грустью.князь,1
1007,равнодушно,11
1008,замолк.,5
1009,"павловна,",37
1010,свойственною,14
1011,придворною,6
1012,женскою,4
1013,ловкостью,3
1014,быстротою,4
1015,"такта,",3
1016,захотела,1
1017,щелконуть,1
1018,дерзнул,1
1019,отозваться,2
1020,"лице,",36
1021,рекомендованном,1
1022,"императрице,",1
1023,время,618
1024,утешить,3
1025,его.—,59
1026,mais,82
1027,propos,3
1028,votre,68
1029,"famille,2",1
1030,"ли,",104
1031,ваша,38
1032,тех,239
1033,"пор,",62
1034,"выезжает,",3
1035,fait,35
1036,délices,1
1037,monde.,3
1038,trouve,8
1039,"belle,",2
1040,jour.3князь,1
1041,наклонился,4
1042,уважения,8
1043,признательности.—,1
1044,часто,119
1045,продолжала,50
1046,минутного,9
1047,"молчания,",7
1048,придвигаясь,2
1049,князю,170
1050,ласково,24
1051,улыбаясь,101
1052,"ему,",184
1053,выказывая,14
1054,"этим,",15
1055,светские,2
1056,разговоры,18
1057,кончены,4
1058,начинается,10
1059,задушевный:,1
1060,иногда,110
1061,несправедливо,6
1062,распределяется,1
1063,счастие,23
1064,жизни.,62
1065,судьба,19
1066,дала,14
1067,таких,57
1068,двух,137
1069,славных,1
1070,детей,17
1071,(исключая,1
1072,"анатоля,",21
1073,вашего,29
1074,"меньшого,",1
1075,"люблю,",28
1076,вставила,2
1077,"безапелляционно,",1
1078,приподняв,12
1079,брови),1
1080,прелестных,1
1081,детей?,2
1082,"вы,",73
1083,"право,",42
1084,менее,86
1085,цените,1
1086,их,648
1087,потому,400
1088,сто́ите.и,1
1089,улыбнулась,34
1090,восторженною,6
1091,улыбкой.—,15
1092,voulez-vous?,1
1093,lafater,1
1094,aurait,11
1095,dit,22
1096,n’ai,10
1097,bosse,1
1098,"paternité,4",1
1099,князь.—,6
1100,перестаньте,2
1101,шутить.,4
1102,серьезно,34
1103,поговорить,19
1104,вами.,9
1105,"знаете,",61
1106,недовольна,4
1107,вашим,26
1108,меньшим,2
1109,сыном.,6
1110,нами,33
1111,будь,18
1112,сказано,18
1113,(лицо,1
1114,приняло,22
1115,грустное,4
1116,"выражение),",1
1117,нем,156
1118,говорили,165
1119,величества,4
1120,жалеют,3
1121,вас...князь,1
1122,"молча,",28
1123,значительно,27
1124,глядя,262
1125,"него,",188
1126,ждала,17
1127,ответа.,9
1128,поморщился.—,2
1129,ж,126
1130,делать?,21
1131,наконец.,3
1132,сделал,132
1133,воспитания,4
1134,"все,",54
1135,"отец,",34
1136,оба,69
1137,вышли,41
1138,imbéciles.5,1
1139,"ипполит,",14
1140,крайней,23
1141,"мере,",11
1142,покойный,2
1143,"дурак,",14
1144,много,183
1145,"уважения,2",1
1146,кстати,6
1147,вашем,16
1148,"семействе,3",1
1149,составляет,18
1150,наслаждение,10
1151,общества.,7
1152,находят,2
1153,"прекрасною,",2
1154,день.4,1
1155,лафатер,1
1156,"бы,",67
1157,шишки,1
1158,родительской,1
1159,любви.5,1
1160,дурни.7анатоль,1
1161,беспокойный.,1
1162,одно,232
1163,"различие,",3
1164,неестественно,18
1165,"одушевленно,",1
1166,"обыкновенно,",10
1167,этом,310
1168,особенно,172
1169,резко,10
1170,сложившихся,1
1171,около,119
1172,рта,9
1173,морщинах,2
1174,что-то,381
1175,неожиданно-грубое,2
1176,неприятное.—,1
1177,зачем,99
1178,родятся,1
1179,дети,21
1180,вы?,15
1181,были,915
1182,могла,201
1183,упрекнуть,5
1184,задумчиво,16
1185,поднимая,33
1186,глаза.—,23
1187,suie,1
1188,votre1,1
1189,seule,3
1190,puis,10
1191,l’avouer.,1
1192,мои,42
1193,entraves,1
1194,existence.2,1
1195,крест.,4
1196,объясняю.,1
1197,voulez,3
1198,vous?..3,1
1199,"помолчал,",6
1200,выражая,13
1201,жестом,36
1202,покорность,4
1203,жестокой,2
1204,судьбе.анна,1
1205,задумалась.—,3
1206,"том,",612
1207,женить,7
1208,блудного,1
1209,анатоля.,8
1210,"говорят,",76
1211,старые,23
1212,девицы,7
1213,ont,17
1214,manie,1
1215,mariages.4,1
1216,чувствую,10
1217,собою,65
1218,этой,305
1219,"слабости,",8
1220,есть,414
1221,petite,11
1222,"personne,5",1
1223,несчастлива,1
1224,"отцом,",12
1225,parente,1
1226,"nous,",3
1227,princesse6,1
1228,болконская.,2
1229,светским,3
1230,людям,26
1231,быстротой,11
1232,соображения,19
1233,памяти,12
1234,показал,35
1235,движением,50
1236,"головы,",9
1237,принял,53
1238,соображению,1
1239,сведения.—,1
1240,анатоль,82
1241,сто́ит,7
1242,40,14
1243,"год,",10
1244,"видимо,",72
1245,силах,44
1246,удерживать,14
1247,печальный,4
1248,ход,23
1249,своих,271
1250,мыслей.,3
1251,помолчал.—,6
1252,пять,50
1253,пойдет,11
1254,так?,6
1255,voilà,31
1256,l’avantage,1
1257,d’être,11
1258,père.7,1
1259,"богата,",1
1260,княжна?—,1
1261,отец,84
1262,богат,1
1263,скуп.,1
1264,живет,18
1265,деревне.,6
1266,известный,25
1267,"болконский,",24
1268,отставленный,1
1269,покойном,4
1270,императоре,4
1271,прозванный,1
1272,«прусским,1
1273,королем».,1
1274,умный,13
1275,"человек,",183
1276,со,428
1277,странностями,1
1278,тяжелый.,1
1279,"malheureuse,",1
1280,pierres.8,1
1281,"брат,",37
1282,недавно,25
1283,женился,12
1284,lise,2
1285,"мейнен,",1
1286,адъютант,69
1287,кутузова.,19
1288,меня.1,2
1289,ваш2,1
1290,одним,64
1291,могу,141
1292,признаться.,3
1293,обуза,1
1294,моего,48
1295,существования.3,1
1296,делать?..4,1
1297,имеют,23
1298,манию,1
1299,женить.5,1
1300,"девушка,6",1
1301,наша,37
1302,"родственница,",1
1303,княжна7,1
1304,выгода,1
1305,отцом.8,1
1306,бедняжка,1
1307,"несчастлива,",2
1308,камни.8—,1
1309,"ecoutez,",2
1310,"annette,1",1
1311,взяв,58
1312,собеседницу,2
1313,руку,191
1314,пригибая,3
1315,почему-то,26
1316,"книзу,",7
1317,arrangez-moi,1
1318,affaire,4
1319,suis,34
1320,votre2,1
1321,вернейший,1
1322,раб,3
1323,jamais,20
1324,"(pan,",1
1325,староста,10
1326,m’écrit,1
1327,des3,1
1328,донесенья:,1
1329,покой-ер-п).,1
1330,хорошей,4
1331,богата.,2
1332,"всё,",184
1333,нужно.и,1
1334,свободными,5
1335,"фамильярными,",1
1336,грациозными,1
1337,"движениями,",4
1338,"отличали,",1
1339,взял,133
1340,"фрейлину,",1
1341,"и,",761
1342,"поцеловав,",1
1343,помахал,3
1344,фрейлинскою,1
1345,"рукой,",34
1346,развалившись,3
1347,креслах,2
1348,сторону.—,6
1349,"attendez,4",1
1350,соображая.,3
1351,поговорю,3
1352,(la,1
1353,femme,13
1354,du,108
1355,jeune,21
1356,болконский).5,1
1357,уладится.,1
1358,sera,7
1359,dans,86
1360,"famille,",1
1361,ferai,4
1362,apprentissage,1
1363,vieille,2
1364,fille.6ii.гостиная,1
1365,павловны,31
1366,начала,73
1367,понемногу,15
1368,наполняться.,1
1369,приехала,26
1370,высшая,8
1371,знать,65
1372,"петербурга,",14
1373,люди,185
1374,самые,68
1375,разнородные,2
1376,возрастам,1
1377,"характерам,",1
1378,одинаковые,2
1379,"обществу,",9
1380,каком,36
1381,жили;,1
1382,красавица,7
1383,"элен,",55
1384,заехавшая,1
1385,ним,307
1386,ехать,104
1387,посланника.,1
1388,шифре,1
1389,бальном,1
1390,платье.,11
1391,"известная,",2
1392,séduisante,1
1393,"pétersbourg,7",1
1394,"молодая,",4
1395,маленькая,46
1396,княгиня,65
1397,"болконская,",2
1398,прошлую,4
1399,зиму,10
1400,вышедшая,4
1401,замуж,13
1402,выезжавшая,1
1403,большой,69
1404,причине,8
1405,"беременности,",2
1406,ездившая,2
1407,небольшие,4
1408,вечера.,6
1409,приехал,119
1410,сын,62
1411,"мортемаром,",1
1412,представил;,1
1413,морио,1
1414,многие,29
1415,другие.—,3
1416,видали,11
1417,"еще,",45
1418,или:,6
1419,знакомы,4
1420,ma,124
1421,tante?8,1
1422,приезжавшим,1
1423,гостям,6
1424,весьма,79
1425,"послушайте,",7
1426,милая,36
1427,"анет,2",1
1428,устройте,1
1429,"дело,",97
1430,навсегда,27
1431,ваш3,1
1432,пишет4,1
1433,"постойте,5",1
1434,лизе,1
1435,жене,22
1436,болконского.6,1
1437,семействе,5
1438,начну,1
1439,обучаться,2
1440,ремеслу,1
1441,девицы.7,1
1442,самая,28
